,fighter_name,Height_cm,Weight_kg,Reach_cm,Stance,SLpM,Str_Acc%,Strikes_absorbed/m,Str_Def%,TD_Avg,TD_Def%,Sub_Avg,weight_class,TD_Acc
1849,Waachiim Spiritwolf,172.72,77,73,Orthodox,10.0,100.0,10.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1850,War Machine,180.34,77,73,Orthodox,2.32,60.0,3.17,43.0,1.16,40.0,0.0,Middleweight,50.0
1851,Ryan Madigan,182.88,77,73,Orthodox,0.0,43.02,3.35,47.0,0.0,60.38,0.0,Middleweight,47.04
1852,Stevie Lynch,177.8,77,73,Orthodox,2.47,25.0,7.06,41.0,0.0,60.38,0.0,Middleweight,47.04
1853,Alex Reyes,180.34,77,73,Orthodox,4.56,46.0,8.35,38.0,0.0,60.38,0.0,Middleweight,47.04
1854,Mike Jackson,187.96,77,73,Southpaw,4.25,58.0,1.33,75.0,0.95,88.0,0.0,Middleweight,100.0
1855,Jason Jackson,185.42,77,78,Southpaw,2.24,48.0,1.31,56.0,0.0,60.38,0.0,Middleweight,47.04
1856,DaMarques Johnson,185.42,77,75,Orthodox,2.11,37.0,3.75,51.0,1.18,19.0,0.7,Middleweight,55.0
1857,Brock Jardine,180.34,77,73,Orthodox,1.06,30.0,3.34,56.0,0.0,14.0,0.8,Middleweight,47.04
1858,Victor Reyna,180.34,77,74,Southpaw,5.8,63.0,4.75,42.0,0.0,100.0,0.0,Middleweight,47.04
1859,Mike Rhodes,185.42,77,74,Orthodox,3.2,39.0,4.13,64.0,0.96,75.0,0.5,Middleweight,33.0
1860,Damion Douglas,180.03,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1861,Jordan Dowdy,180.03,77,73,Orthodox,2.11,44.0,2.63,50.0,0.0,60.38,0.0,Middleweight,47.04
1862,Nick Bustamante,175.26,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1863,Josh Bumgarner,185.42,77,73,Orthodox,0.0,43.02,0.0,52.02,0.0,60.38,0.0,Middleweight,47.04
1864,Joshua Burkman,177.8,77,72,Orthodox,2.69,43.0,3.13,51.0,2.53,72.0,0.3,Middleweight,36.0
1865,Clayton MacFarlane,180.03,77,73,Orthodox,1.33,52.0,1.82,55.0,1.05,37.0,0.0,Middleweight,33.0
1866,Greg Soto,180.34,77,73,Southpaw,3.21,63.0,2.61,52.0,1.49,44.0,1.0,Middleweight,27.0
1867,Song Kenan,182.88,77,71,Southpaw,4.39,46.0,4.37,54.0,0.0,50.0,0.0,Middleweight,47.04
1868,Devin Smyth,177.8,77,72,Switch,2.6,68.0,6.73,25.0,4.0,100.0,0.0,Middleweight,26.0
1869,Peter Sobotta,182.88,77,75,Southpaw,2.14,40.0,2.9,58.0,1.53,77.0,0.5,Middleweight,32.0
1870,Ricardo Almeida,182.88,77,74,Southpaw,2.02,49.0,1.2,61.0,3.74,31.0,1.2,Middleweight,38.0
1871,Gilbert Burns,177.8,77,71,Southpaw,3.22,45.0,3.04,54.0,2.08,50.0,0.7,Middleweight,35.0
1872,Nah-Shon Burrell,180.34,77,73,Southpaw,4.83,47.0,3.45,56.0,0.0,52.0,0.3,Middleweight,47.04
1873,Matthew Riddle,185.42,77,76,Southpaw,3.01,42.0,2.74,54.0,3.51,89.0,0.5,Middleweight,50.0
1874,George Sullivan,182.88,77,73,Southpaw,3.53,39.0,2.42,57.0,1.37,38.0,0.7,Middleweight,20.0
1875,Mauricio Alonso,187.96,77,73,Southpaw,5.74,34.0,1.91,67.0,0.0,60.38,0.0,Middleweight,47.04
1876,Mike Stumpf,177.8,77,73,Orthodox,3.34,43.0,8.85,47.0,1.59,33.0,0.8,Middleweight,25.0
1877,Roger Carroll,177.8,77,73,Orthodox,7.62,61.0,10.48,43.0,0.0,100.0,0.0,Middleweight,47.04
1878,Phil Baroni,175.26,77,72,Orthodox,2.77,45.0,3.93,40.0,1.46,60.0,0.5,Middleweight,47.0
1879,Dan Barrera,175.26,77,73,Orthodox,0.8,70.0,1.2,28.0,1.0,60.38,0.0,Middleweight,8.0
1880,Niklas Stolze,185.42,77,74,Switch,2.0,41.0,1.93,56.0,1.0,66.0,0.0,Middleweight,100.0
1881,Ryan Stonitsch,175.26,77,73,Southpaw,2.53,36.0,2.53,71.0,0.0,60.38,0.0,Middleweight,47.04
1882,Chad Reiner,180.34,77,73,Orthodox,0.53,20.0,1.97,46.0,0.99,25.0,2.0,Middleweight,33.0
1883,Chance Rencountre,187.96,77,75,Southpaw,1.1,20.0,3.62,49.0,1.35,16.0,0.3,Middleweight,26.0
1884,Johnny Rees,182.88,77,73,Southpaw,3.29,64.0,0.84,47.0,1.15,50.0,0.0,Middleweight,25.0
1885,Duane Ludwig,177.8,77,70,Southpaw,4.62,44.0,3.05,57.0,0.43,59.0,0.1,Middleweight,25.0
1886,Dave Strasser,177.8,77,73,Southpaw,3.04,45.0,1.88,59.0,0.72,33.0,0.0,Middleweight,33.0
1887,Alexandre Barros,175.26,77,73,Southpaw,0.98,40.0,4.05,36.0,1.84,100.0,0.0,Middleweight,50.0
1888,Chris Indich,177.8,77,73,Orthodox,1.31,30.0,4.32,43.0,0.75,50.0,1.5,Middleweight,50.0
1889,Kyle Jensen,175.26,77,73,Orthodox,0.0,43.02,0.92,60.0,6.92,60.38,6.9,Middleweight,100.0
1890,Rory MacDonald,182.88,77,76,Southpaw,3.75,42.0,2.8,62.0,1.77,88.0,0.4,Middleweight,47.0
1891,Vicente Luque,180.34,77,75,Orthodox,5.72,53.0,5.82,52.0,0.68,64.0,0.8,Middleweight,50.0
